id,Target_Index,ANVITA,GPT4-5shot,HW-TSC,IOL_Research,Lan-BridgeMT,NLLB_Greedy,NLLB_MBR_BLEU,ONLINE-A,ONLINE-B,ONLINE-G,ONLINE-M,ONLINE-W,ONLINE-Y,refA,synthetic_ref,Yishu,ZengHuiMT
22,1567,"Fourth, I would have been happy if Amazon had not indicated that the expected delivery date was February 7.",I might have been very satisfied if Amazon hadn't marked the estimated arrival date as February 7th.,"4. If Amazon didn't mark the expected delivery date as February 7th, I might be very satisfied.","4, if Amazon did not indicate that the estimated arrival time is February 7, I might be satisfied.","4, If Amazon hadn't marked the estimated arrival time as February 7th, I might have been very satisfied.","4, I would be happy if Amazon didn't have a February 7th estimated delivery date.","4, I might have been pleased if Amazon hadn't marked the expected delivery date as 7 February.","4. If Amazon does not indicate that the expected arrival time is February 7th, I may be very satisfied.","4. If Amazon didn't mark the expected delivery date as February 7th, I might be very satisfied.","4. If Amazon does not indicate that the estimated arrival time is February 7th, I might be very satisfied.","If Amazon didn’t mark the expected arrival date of February 7, I’d probably be happy.","4, if Amazon hadn't labeled the estimated arrival time as Feb. 7th, I might have been happy with that.","4. If Amazon doesn't indicate that the estimated delivery time is February 7, I would probably be satisfied.","4, I might be quite happy if Amazon didn't list February 7th as the estimated arrival date.","4. If Amazon didn't mark the expected delivery date as February 7th, I might be very satisfied.","4. If Amazon didn't mark the expected delivery date as February 7th, I might be very satisfied.","4. If Amazon did not indicate that the expected arrival time is February 7th, I may be very satisfied."
23,668,"It proposes to build a high-speed, large-capacity, low-latency super-broadband network by the end of 2023, to achieve the goal of ""dual gigabit, all-optical network, 1 millisecond, universal connectivity"" network construction, to become the first domestic and world's leading high-speed pioneer city.","It proposed that by the end of 2023, a super broadband network with high speed, large capacity, and low latency would be built to achieve the network construction goals of ""double gigabit, all-optical network, 1 millisecond, and Internet of Everything"", creating the country's first and world-leading ultra-fast pioneer city.","Among them, it is proposed that by the end of 2023, a high-speed, large-capacity, and low-latency ultra-broadband network will be built to achieve the goal of ""dual gigabit, all-optical network, 1 millisecond, and the Internet of Everything"" network construction, and create the first in China and the world's leading speed pioneer city.","It is proposed that by the end of 2023, a high-speed, high-capacity, low-latency super-broadband network will be built to achieve the goal of ""dual gigabit, all-optical network, 1 millisecond, everything connected"" network construction, to create the first domestic and world-leading high-speed pioneer city.","It proposes that by the end of 2023, a super broadband network with high speed, large capacity, and low latency will be built, achieving the goal of ""double gigabit, all-optical network, 1 millisecond, Internet of Everything"" network construction, and building the fastest pioneer city in China and leading the world.","The report proposes to build a high-speed, high-capacity, low-latency super-broadband network by the end of 2023, to achieve the goal of building a network of 2 gigabit, full-light, 1 millisecond, and everything-connected networks, and to create the first and world-leading high-speed pioneer city in the country.","It proposes to build high-speed, high-capacity, low-latency high-bandwidth networks by the end of 2023, to achieve the goal of building a twin gigabit, full-photovoltaic, one-millisecond and connected everything network, to create the first high-speed pioneer city in the country and the world.","It is proposed that by the end of 2023, a high-speed, large-capacity, low-latency super broadband network will be built, and the ""dual gigabit, all-optical network, 1 millisecond, and Internet of Everything"" network construction goals will be achieved, and the world's first and world-leading ultra-fast pioneer city will be built.","Among them, it is proposed that by the end of 2023, a high-speed, large-capacity, and low-latency ultra-broadband network will be built to achieve the goal of ""dual gigabit, all-optical network, 1 millisecond, and the Internet of Everything"" network construction, and create the first in China and the world's leading Speed pioneer city.","It is proposed that a high-speed, large-capacity and low-latency super broadband network will be built before the end of 2023, to achieve the goal of “dual gigabit, all-optical network, 1 millisecond, and everything connected” network construction, and to create the first in China and the world's leading ultra-fast pioneer city.","Among them, it is proposed that by the end of 2023, build a high-speed, high-capacity, low-latency super-broadband network, achieve the goal of ""double gigabit, all-optical network, 1 millisecond, everything Internet"" network construction, and build the first and the world's leading ultra-fast pioneer city in China.","It is proposed that by the end of 2023, a super broadband network with high speed, large capacity and low latency will be built, realizing the network construction goal of ""double gigabit, full optical network, 1 millisecond, and all things are connected"", and creating the first domestic and world-leading city of extreme speed pioneers.","Among them, it is proposed that by the end of 2023, a high-speed, high-capacity, and low-latency super broadband network will be built to achieve the “dual gigabit, full optical network, 1 ms, Internet of Everything” network construction goal, and build the number one high-speed pioneer city in China and the world.","To attain the objective of ""double gigabit, all-optical arrange, 1 millisecond, and the Web of Everything"" arrange development, it is recommended that by the conclusion of 2023, a high-speed, large-capacity, and low-latency ultra-broadband organize will be built, this will make the primary in China and the driving Speed pioneer city.","Among them, it is proposed that by the end of 2023, a high-speed, large-capacity, and low-latency ultra-broadband network will be built to achieve the goal of ""dual gigabit, all-optical network, 1 millisecond, and the Internet of Everything"" network construction, and create the first in China and the world's leading Speed pioneer city.","Among them, it is proposed that by the end of 2023, a high-speed, large-capacity, and low-latency ultra-broadband network will be built to achieve the goal of ""dual gigabit, all-optical network, 1 millisecond, and the Internet of Everything"" network construction, and create the first in China and the world's leading Speed pioneer city.","Among them, it is proposed that by the end of 2023, a high-speed, large-capacity, and low-latency ultra-broadband network will be built to achieve the goal of ""dual gigabit, all-optical network, 1 millisecond, and Internet of Everything"" network construction, creating the first domestic and world-leading ultra-fast pioneer city."
24,972,"First Lady Li Xuezhong could only walk or sit in the back, always a few steps away from her husband and daughter.","The First Lady, Li Xue, could only walk behind or sit aside throughout the process, always a few steps away from her husband and daughter.","The first lady, Li Xuezhu, could only walk behind or sit aside, always a few steps away from her husband and daughter.","The first lady, Li Xuejun, could only walk behind or sit on the sidelines, always a few steps away from her husband and daughter.","However, the first lady, Ri Sol-ju, could only walk behind or sit aside the whole time, always a few steps away from her husband and daughter.","The first lady, Lee Hsien Loong, was only allowed to walk in the back or sit on the side, always a few steps away from her husband and daughter.","The First Lady Li Shi was only able to walk in the back or to sit on the side for the entire journey, always a few steps away from her husband and daughter.","First lady Li Xuezhu could only walk behind or sit on the side the whole time, always a few steps away from her husband and daughter.","The first lady, Li Xuezhu, could only walk behind or sit aside, always a few steps away from her husband and daughter.","The first lady, Li Xuejun, can only walk behind or sit aside throughout the process, always a few steps away from her husband and daughter.","First Lady Li Xue Master can only walk behind or sit on the side, always a few steps away from her husband and daughter.","And First Lady Lee Seol-ju could only walk behind or sit on the sidelines the whole time, always a few steps away from her husband and daughter.","However, the first lady, Li Xuezhu, can only walk or sit on the side the whole time; she is always a few steps away from her husband and daughter.","The first lady, Li Xuezhu, could only walk behind or sit aside, always a few steps away from her husband and daughter.","However, the first lady, Ri Sol-ju, could only walk behind or sit aside the whole time, always a few steps away from her husband and daughter.","The first lady, Li Xuezhu, could only walk behind or sit aside, always a few steps away from her husband and daughter.","The first lady, Li Xuezhu, could only walk behind or sit aside, always a few steps away from her husband and daughter."
25,1310,"Chinese customer service: I am sorry, we have caused you a loss, we have given you two ways:","Chinese customer service: We apologize for the inconvenience caused, we offer you two options:","Chinese customer service: Sorry for the loss, we give you two ways:","Chinese customer service: I'm sorry to bring you losses, we give you two ways to go:",Chinese customer service: We are very sorry for your loss. We give you two options:,"Chinese customer service: Sorry for the loss, we have two options for you:","The Chinese service: We are sorry for your loss, and we give you two choices:","Chinese customer service: Sorry for the loss, we will give you two ways:","Chinese customer service: Sorry for the loss, we give you two ways:","Chinese customer service: I'm sorry, I caused you a loss, we will give you two ways to go：","China Customer Service: Sorry to bring you losses, we give you two ways to go:","Chinese customer service: I'm sorry to have caused you loss, we give you two ways to go:",Chinese customer service: I'm very sorry for the loss caused to you. We will give you two paths:,Customer service in Chinese: We apologize for your loss and offer two solutions:,Chinese customer service: We are very sorry for your loss. We give you two options:,"Chinese customer service: Sorry for the loss, we give you two ways:","Chinese customer service. Sorry for the loss, we give you two ways to go."
26,1304,"Good value for money, it is difficult to find synthetic oil below 200.","The cost-performance ratio is good, it's hard to find synthetic motor oil for less than 200.","The price/performance ratio is good, and it is difficult to find synthetic motor oil under 200.","Good value for money, it's hard to find synthetic oil under 200.","The cost performance is good, it's hard to find synthetic engine oil under 200.","The price is good, and it is difficult to find synthetic oil below 200.","The price is very good, it is difficult to find synthetic oil for less than $200.","The cost performance is good, it is difficult to find synthetic engine oil below 200.","The price/performance ratio is good, and it is difficult to find synthetic motor oil under 200.","The price is good, and it is difficult to find synthetic engine oil below two hundred.","The cost-effectiveness ratio is good, it is difficult to find synthetic oil below two hundred.","The price/performance ratio is good, and it's hard to find synthetic oil under two hundred.",The cost performance ratio is good; it's hard to find synthetic engine oil under 200.,"The price-to-performance ratio is favorable, and finding synthetic motor oil for under 200 is challenging.","The price/performance ratio is good, and it is difficult to find synthetic motor oil under 200.","The price/performance ratio is good, and it is difficult to find synthetic motor oil under 200.","Good cost performance, it is difficult to find synthetic oil below 200."
27,351,"An estimated 192 million people used cannabis in 2018, making it the most used drug globally.","It is estimated that in 2018, 192 million people used cannabis, making it the most widely used drug in the world.","An estimated 192 million people used cannabis in 2018, making it the most used drug globally.","An estimated 192 million people used cannabis in 2018, making it the most used drug in the world.","It is estimated that in 2018, 192 million people used marijuana, making it the most widely used drug globally.","It is estimated that in 2018, there were 189 million people who used cannabis, making it the most used drug in the world.","An estimated 189 million people used cannabis in 2018, making it the most used drug in the world.","An estimated 192 million people used cannabis in 2018, making it the most used drug globally.","An estimated 192 million people used cannabis in 2018, making it the most used drug globally.","It is estimated that 192 million people used cannabis in 2018, making it the most used drug in the world.","An estimated 192 million people used cannabis in 2018, making it the most widely used drug in the world.","An estimated 192 million people used marijuana in 2018, making it the most used drug in the world.","It is estimated that 192 million people used marijuana in 2018, making it the most used drug in the world.",Cannabis was the top substance used globally in 2018 by 0.192 billion people.,"It is estimated that in 2018, 192 million people used cannabis, making it the most widely used drug in the world.","An estimated 192 million people used cannabis in 2018, making it the most used drug globally.","It is estimated that in 2018, 1 person used cannabis. Twenty-two billion people have become the most used drug globally."
28,1296,"There is no sign on the package, call the supplier directly and say that the answer is not marked as genuine, such as suspected scrap mail to Johnson & amp; Johnson inspection, leave the license plate number and phone number, promise to send a text message to enter my information into the Johnson & amp; Johnson warranty card, and have not received a text message yet?","The packaging had no markings, so I called the supplier directly. They said that the lack of markings indicated that it was genuine, and if I had doubts, I could send a sample to Johnson & Johnson for verification. They also left their license plate number and phone number, promising to send a text message to notify me that my information had been entered into the Johnson & Johnson warranty card on their official website, but I haven't received a text message yet?","There is no mark on the package, so I called the supplier directly and said that the answer is that there is no mark, it is a genuine product. If there is any doubt, I can mail it to Johnson & Johnson for inspection, and leave the license plate number and phone number. I promise to send a text message to notify my information into Johnson & Johnson. The warranty card on the official website has not received a text message until now?","Packaging does not have any markings, directly to the supplier called to say, the answer is not marked is genuine, such as doubt can be used scraps mailed to Johnson & Johnson company inspection, but also left the license plate number and phone number, promised to send a text message notice to enter my information into the Johnson & Johnson official website warranty card, so far did not receive a text message ah?","The packaging has no markings, I directly called the supplier and they said that the lack of markings indicates it's genuine. If in doubt, you can send scrap materials to Johnson & Johnson for inspection. They also left their license plate number and phone number, promising to send a text message to input my information into the Johnson & Johnson warranty card on their official website. But I haven't received a text message yet?","The packaging is not marked, I called the supplier directly and said that the unmarked package is genuine, I was wondering if I could send the product to J&J by mail, I left the license plate number and phone number, I promised to send a text message to inform me that I had entered my information into the J&J warranty card, and I haven't received a text message yet?","It didn't have any markings, I called the supplier directly and the answer was without markings, as suspected but can use the borders to post it to the JSON company to verify the goods, and also leave the license plate number and phone number, promise to send a text message to inform me to enter my information in the JSON official website warranty card, so far no texts are received?","The packaging does not have any logo, call the supplier directly, answer that no logo is genuine, such as suspect that scraps can be mailed to Johnson & Johnson for inspection, but also leave the license plate number and phone number, promise to send a text message notification to enter my information into the Johnson & Johnson official website warranty card, so far have not received a text message?","There is no mark on the package, so I called the supplier directly and said that the answer is that there is no mark, it is a genuine product. If there is any doubt, I can mail it to Johnson & Johnson for inspection with leftover materials, and leave the license plate number and phone number. I promise to send a text message to notify my information into Johnson & Johnson The warranty card on the official website has not received a text message until now?","The package does not have any logo. I called the supplier directly and said that the answer is that it is genuine without the logo. If I suspect that the scrap can be mailed to Johnson & Johnson for inspection, I will leave the license plate number and phone number, and promise to send a text message to notify me to enter my information into the warranty card on Johnson & Johnson's official website. Haven't you received a text message yet?","Packaging does not have any logo, directly to the supplier to say, answer no logo is genuine, such as the suspicion can be mailed to Johnson & Johnson inspection, but also left the license plate and telephone number, promise to send a text message notification to enter my information into Johnson & Johnson warranty card, to now also not received a text message Ah?","Packaging without any identification, directly to the supplier called to say, answering no identification is genuine, such as doubt available edges mailed to Johnson & Johnson inspection, but also left the license plate number and phone number, promised to send a text message notification to enter my information into the Johnson & Johnson official website warranty card, and now also did not receive a text message ah?","There was no logo on the package. I called the supplier directly and said that the answer was that the product was genuine. If I suspected that I could use scraps to mail it to Johnson & Johnson for inspection, and also left my license plate number and phone number, promising that I would send a text message to enter my information into the Johnson & Johnson warranty card. Haven't I received a text message until now?","Since there is no mark on the package, I called the supplier directly to ask about the matter and was told that the good is authentic despite the lack of a mark, If there is any dispute, I may submit it to Johnson & Johnson for review and include the phone number and license plate information, I swear to tell Johnson & Johnson of my information by text message, Why has a text message not yet been sent to the warranty card on the official website?","The packaging had no markings, so I called the supplier directly. They said that the lack of markings indicated that it was genuine, and if I had doubts, I could send a sample to Johnson & Johnson for verification. They also left their license plate number and phone number, promising to send a text message to notify me that my information had been entered into the Johnson & Johnson warranty card on their official website, but I haven't received a text message yet?","There is no mark on the package, so I called the supplier directly and said that the answer is that there is no mark, it is a genuine product. If there is any doubt, I can mail it to Johnson & Johnson for inspection, and leave the license plate number and phone number. I promise to send a text message to notify my information into Johnson & Johnson. The warranty card on the official website has not received a text message until now?","There is no mark on the package. I called the supplier directly and said that it was genuine if there was no mark. If I suspected that the leftover materials could be mailed to Johnson & Johnson for inspection, I also left the license plate number and phone number. I promised to send a text message to inform me to enter my information into the warranty card on Johnson & Johnson's official website. I haven't received a text message yet."
29,715,"This report (reporter Sun Jie) last night, the CBEX released the information that, with the approval of the China Securities Regulatory Commission, the Beijing Stock Exchange financing transaction business will be officially launched on February 13, at which time the securities companies that have obtained the CBEX financing transaction authority can accept the investor's commission to report the financing transaction to the CBEX.","According to a report by reporter Sun Jie, last night, the Beijing Stock Exchange announced that, with the approval of the China Securities Regulatory Commission, the margin trading business of the Beijing Stock Exchange will officially start on February 13. At that time, securities companies that have obtained the margin trading rights of the Beijing Stock Exchange can accept investor commissions and apply for margin trading on the Beijing Stock Exchange.","News from our newspaper (Reporter Sun Jie) Last night, the Beijing Stock Exchange announced that, with the approval of the China Securities Regulatory Commission, the Beijing Stock Exchange's margin financing and securities lending business will be officially launched on February 13. Securities companies with trading authority can accept the entrustment of investors to declare margin financing and securities lending transactions to CBEX.","(Reporter Sun Jie) Last night, the Beijing Stock Exchange announced that, with the approval of the China Securities Regulatory Commission, the margin trading business of the Beijing Stock Exchange will be officially launched on February 13, when securities companies that have obtained the margin trading authority of the Beijing Stock Exchange can accept the entrustment of investors to declare margin trading to the Beijing Stock Exchange.","According to our report (Reporter Sun Jie), last night, the Beijing Stock Exchange announced that, with the approval of the China Securities Regulatory Commission, the margin trading business of the Beijing Stock Exchange will officially launch on February 13. By then, securities companies that have obtained the margin trading rights of the Beijing Stock Exchange can accept investor commissions and apply for margin trading on the Beijing Stock Exchange.","The Beijing Stock Exchange will officially launch its financing and securities trading business on February 13th, after the approval of the China Securities and Exchange Commission. Securities companies that have obtained the BSE's financing and securities trading authorization can accept investors' mandates to declare financing and securities transactions to the BSE.","The Beijing Stock Exchange will officially start its funding and securities trading business on February 13, after the approval of the China Securities and Exchange Commission, by which time securities firms authorised by the Beijing Stock Exchange will be able to accept the investors as their delegate for declaring funding and securities transactions to the Beijing Stock Exchange.","Last night, the Beijing Stock Exchange released news that with the approval of the China Securities Regulatory Commission, the margin trading business of the Beijing Stock Exchange will be officially launched on February 13, when securities companies that have obtained the trading authority of margin trading on the Beijing Stock Exchange can accept the entrustment of investors to declare margin trading and securities trading to the Beijing Stock Exchange.","News from our newspaper (Reporter Sun Jie) Last night, the Beijing Stock Exchange announced that, with the approval of the China Securities Regulatory Commission, the Beijing Stock Exchange’s margin financing and securities lending business will be officially launched on February 13. Securities companies with trading authority can accept the entrustment of investors to declare margin trading and securities lending transactions to CBEX.","Newspaper news (reporter Sun Jie) Last night, the Beijing Stock Exchange released news that with the approval of the China Securities Regulatory Commission, the margin trading business of the Beijing Stock Exchange will be officially launched on February 13. At that time, securities companies that have obtained the margin trading authority of the Beijing Stock Exchange can accept investors' commissions and declare margin trading to the Beijing Stock Exchange.","This news (reporter Sun Jie) last night, the BSE released the news, approved by the China Securities Regulatory Commission, the Beijing Securities Exchange financing bond trading business will be officially launched on February 13, when the BSE financing bond trading rights securities companies can accept the investor's commission, to the BSE financing bond trading declaration.","(Reporter Sun Jie) last night, the North Stock Exchange issued a news release, approved by the China Securities Regulatory Commission, the Beijing Stock Exchange financing and securities trading business will be officially launched on February 13, when the North Stock Exchange has obtained the financing and securities trading rights of the securities companies can be entrusted to accept investors to the North Stock Exchange for the financing and securities trading declarations.","News from this newspaper (Reporter Sun Jie) Last night, the Beijing Stock Exchange released news that with the approval of the China Securities Regulatory Commission, the financing and securities trading business of the Beijing Stock Exchange will be officially launched on February 13. At that time, securities companies that have obtained the Beijing Stock Exchange's securities financing transaction authority can accept requests from investors to report financing and securities transactions to the Beijing Stock Exchange.","(Reporter Sun Jie) Last night, the Beijing Stock Exchange (BSE) issued a news release, approved by the China Securities Regulatory Commission, the Beijing Stock Exchange financing and securities trading business will be officially launched on February 13, when the securities companies that have obtained the BSE's financing and securities trading authority can accept investors' entrustment and declare financing and securities trading to the BSE.","News from this newspaper ( reporter Sun Jie) Last night, the Beijing Stock Exchange announced that with the approval of the China Securities Regulatory Commission, the margin trading business of the Beijing Stock Exchange will be officially launched on February 13. At that time, securities companies that have obtained the margin trading authority of the Beijing Stock Exchange can accept the entrustment of investors to declare margin trading and securities trading to the Beijing Stock Exchange.","News from our newspaper (Reporter Sun Jie) Last night, the Beijing Stock Exchange announced that, with the approval of the China Securities Regulatory Commission, the Beijing Stock Exchange’s margin financing and securities lending business will be officially launched on February 13. Securities companies with trading authority can accept the entrustment of investors to declare margin trading and securities lending transactions to CBEX.","News from this newspaper ( reporter Sun Jie) Last night, the Beijing Stock Exchange announced that with the approval of the China Securities Regulatory Commission, the margin trading business of the Beijing Stock Exchange will be officially launched on February 13. At that time, securities companies that have obtained the margin trading authority of the Beijing Stock Exchange can accept the entrustment of investors to declare margin trading and securities trading to the Beijing Stock Exchange."
30,1726,"The pursuit of excellence in production and service, quality and brand, efficiency and public goods.","Maintain excellence in production and service, quality and brand, benefits and public welfare.","Maintain the pursuit of excellence in production and service, quality and brand, benefit and public welfare.","To maintain the pursuit of excellence in production and service, quality and brand, efficiency and public welfare.","It maintains excellence in production and service, quality and brand, benefits and public welfare.","The pursuit of excellence in production and service, quality and brand, efficiency and public welfare.","The pursuit of excellence in production and service, quality and brand, efficiency and public good.","Maintain the pursuit of excellence in production and service, quality and brand, efficiency and public welfare.","Maintain the pursuit of excellence in production and service, quality and brand, benefit and public welfare.","Maintain the pursuit of excellence in production and service, quality and brand, efficiency and public welfare.","Maintain excellence in production and service, quality and brand, efficiency and public welfare.","Maintain the pursuit of excellence in production and service, quality and branding, efficiency and public welfare.","Maintain the pursuit of excellence in production and service, quality and brand, efficiency and public welfare.","Always striving for excellence in production and service, brand and quality, benefit, and public welfare.","It maintains excellence in production and service, quality and brand, benefits and public welfare.","Maintain the pursuit of excellence in production and service, quality and brand, benefit and public welfare.","Maintain the pursuit of excellence in production and service, quality and brand, efficiency and public welfare, etc."
31,1660,"Disadvantages: The two-dimensional code on the card can not be swept (what to do), the 15.6-inch notebook can not be put down (no matter how long it is a little), the backpack zipper can be locked, but it does not prepare a lock for the buyer, it is not a service first.","Disadvantages: The QR code on the card cannot be scanned (what's going on?), a 15.6-inch laptop does not fit (can it be a bit longer?), this backpack's zipper can be locked, but no lock is provided for the buyer, which can hardly be called top-notch service.","Disadvantages: The QR code on the card cannot be scanned (what the hell), the 15.6-inch notebook cannot fit (it can be a little longer), the zipper of this backpack can be locked, but there is no lock for the buyer, can not be described as service-oriented.","Disadvantages: the QR code on the card can't be scanned (what the hell), the 15.6-inch notebook can't be put down (a little longer won't do), the backpack zipper can be locked, but there is no lock for the buyer, can't be described as service-oriented.","Cons: The QR code on the card cannot be scanned (what's going on), a 15.6-inch laptop can't fit in (can it be a bit longer), this backpack's zipper can be locked, but they don't provide a lock for the buyer, it can't be said to be customer-first service.","Disadvantages: The card's 2D code cannot be erased ((what the hell), the 15.6-inch notebook cannot be removed ((it's a little longer than that), the shoulder strap can be locked, but without a lock for the buyer, which is not a great service.","Cons: Can't scan the two-dimensional code on the card ((what the hell), the 15.6-inch notebook can't be taken down ((going a little longer), the dual shoulder strap is possible to lock it, but without a lock for the buyer, which is not a great service ▽","Disadvantages: the QR code on the card can't be scanned (what the hell), the 15.6-inch notebook can't fit (a little longer can't do), this backpack zipper can be locked, but does not prepare a lock for buyers, can not be described as service-oriented.","Disadvantages: The QR code on the card cannot be scanned (what the hell), the 15.6-inch notebook cannot fit (it can be a little longer), the zipper of this backpack can be locked, but there is no lock for the buyer , can not be described as service-oriented.","Disadvantages: The QR code on the card can't be scanned (what the hell), and the 15.6-inch notebook can't be put away (a little longer is okay). The zipper of this backpack can be locked, but it does not prepare a lock for the buyer, which cannot be said to be service-oriented.","Disadvantages: the two-dimensional code on the card can not be swept (what the hell), 15.6-inch notebook can not be put down (a little longer can not), this two-shoulder zipper can be locked, but not for the buyer to prepare a lock, can not be called service first.","Cons: The QR code on the card can't be scanned (what the heck), the 15.6"" laptop won't fit (can it be a little longer?), and this duffel bag zippers up but doesn't have a lock for the buyer, which isn't serviceable.","Cons: The QR code on the card can't be scanned (what the hell), I can't put down my 15.6 inch laptop (can't put down a little longer), the zipper of this backpack can be locked, but it doesn't provide a lock for the buyer; service doesn't come first.","Disadvantages: The QR code on the card cannot be scanned (what the hell), the 15.6-inch notebook cannot fit (it could be a little longer), the zipper of this backpack can be locked, but there is no lock for the customer, and it cannot be described as service-oriented.","Disadvantages: The QR code on the card cannot be scanned (what the hell), the 15.6-inch notebook cannot fit (it could be a little longer), the zipper of this backpack can be locked, but there is no lock for the customer, and it cannot be described as service-oriented.","Disadvantages: The QR code on the card cannot be scanned (what the hell), the 15.6-inch notebook cannot fit (it can be a little longer), the zipper of this backpack can be locked, but there is no lock for the buyer , can not be described as service-oriented.","Disadvantages The QR code on the card cannot be scanned ( what the fuck), 15 times. The 6 inch laptop won't fit ( can it be a little longer), this backpack zipper can be locked, but it doesn't prepare a lock for the buyer, it is not said that the service is supreme."
32,1290,"""It's all right.",It got better after changing it.,It will be fine after changing.,It's all right after the change.,It got better after it was replaced.,I'll change it later.,We will change it later.,It's good after changing.,It will be fine after changing.,It will be fine after the change.,Change it later.,It's better after the change.,It will be fine after the replacement.,"Once changed, everything will be fine.",It got better after changing it.,It will be fine after changing.,"After changing, it will be fine."
33,551,"When some of the stores of individual fitness facilities have run into operational problems and are temporarily closed, and consumers can sit back and wait for the problem to be solved, why do so many members ""first reaction is"" something bad. ""","Why is it that when individual fitness institutions temporarily close some of their branches due to operational issues, instead of calmly waiting for the problem to be resolved, many members' first reaction is ""something is seriously wrong""?","Some stores of individual fitness institutions have business problems and are temporarily closed. Consumers can calmly wait for the problem to be resolved. Why do many members' first reaction is ""something is not good""?","Some stores of individual fitness institutions experienced operational problems and were temporarily closed. Consumers could have been calm and waited for the problem to be resolved. Why was the first reaction of many members ""something bad""?","Some fitness organizations have operational problems in some of their stores, temporarily closed, consumers could have calmly waited for the problem to be solved, why was the first reaction of many members ""something is wrong""?","The first reaction of many members was that it was a big deal, but the reason why some of the stores in individual fitness centers had problems with operations, temporarily closed, and consumers should have been calm and wait for the problem to be solved is because they were not satisfied with the results.","The initial reaction from many members is that why is it that a part of the physical fitness outlets were affected and were temporarily closed, so consumers can relax and wait for the problem to be solved, which is a big deal, or not.","Some stores of some fitness institutions have business problems and are temporarily closed, consumers can be calm and wait for the problem to be solved, why is the first reaction of many members is ""something is not good""?","Some stores of individual fitness institutions have business problems and are temporarily closed. Consumers can calmly wait for the problem to be resolved. Why do many members' first reaction is ""something is not good""?",Some stores of individual fitness institutions had operating problems and were temporarily closed. Consumers could have calmed down and waited for the problem to be resolved. Why did many members' first reaction be “Something is wrong”?,"Some of the stores of individual fitness institutions have operating problems, temporarily closed, consumers can calmly and wait for the problem to be solved, why many members of the first reaction is ""big things are bad""?","Some stores of individual fitness organizations have operational problems and are temporarily closed, consumers could have calmly waited for the problem to be solved, why is the first reaction of many members ""something bad""?",Some stores of individual fitness institutions have had business problems and are temporarily closed. Consumers could have been calm and wait for the problem to be solved. Why is the first reaction of so many members “big things not good”?,"Fitness stores in financial trouble are closed for now, customers can be patient, ""Why is 'not good' common among members' responses?""","Why is it that when individual fitness institutions temporarily close some of their branches due to operational issues, instead of calmly waiting for the problem to be resolved, many members' first reaction is ""something is seriously wrong""?","Some stores of individual fitness institutions have business problems and are temporarily closed. Consumers can calmly wait for the problem to be resolved. Why do many members' first reaction is ""something is not good""?","Some stores of individual fitness institutions have business problems and are temporarily closed. Consumers can calmly wait for the problem to be solved. Why the first reaction of many members is ""something bad""?"
34,5,"The appendix ""Additional Chinese characters and radicals / parts"" has been removed. See Appendix 0 of the 2005 edition.","The appendix ""Additional Chinese Characters and Radicals/Components"" was removed, as seen in the 2005 edition's appendix.","Deleted the appendix ""Additional Chinese characters and radicals/parts"" See appendix D of the 2005 edition,","Deleted Appendix ""Additional Chinese Characters and Headings/Parts"" See Appendix 0 of the 2005 edition,","The appendix ""Additional Chinese Characters and Radicals/Components"" has been removed, see the appendix in the 2005 edition.",The Chinese characters and the opening/final parts of the appendix have been removed. See appendix 0 of the 2005 edition.,Added characters and part/parts of the appendix have been removed; see appendix 0 of the 2005 edition.,"Removed the appendix ""Additional Chinese characters and radicals/components"" See Appendix 〇 of the 2005 edition,","Deleted the appendix ""Additional Chinese characters and radicals/parts"" See appendix 〇 of the 2005 edition,","The appendix ”Additional Chinese characters and radicals/parts"" has been deleted. See Appendix 〇 of the 2005 edition. ，",The appendix “Additional Chinese characters and headings/parts” was deleted. See appendix of the 2005 edition.,"Deleted the appendix ""Additional Chinese Characters and Radicals/Components"" in Appendix 〇 of the 2005 version.","Removed the appendix “Additional Chinese characters and headings/parts” see Appendix 0 of the 2005 edition,","Appendix with more Chinese characters and radicals/parts removed from 2005 edition,","Deleted the appendix ""Additional Chinese Characters and Radicals/Components"" in Appendix 〇 of the 2005 version.","Deleted the appendix ""Additional Chinese characters and radicals/parts"" See appendix 〇 of the 2005 edition,","Appendix ""Additional Chinese characters and radicals/parts"" was deleted. See Appendix 0 of the 2005 edition."
