id,Target_Index,GPT4-5shot,GTCOM_Peter,Lan-BridgeMT,NLLB_Greedy,NLLB_MBR_BLEU,ONLINE-A,ONLINE-B,ONLINE-G,ONLINE-Y,refA,refB,Samsung_Research_Philippines,UvA-LTL,ZengHuiMT
10,1453,How will you know the terms of the airline's compensation?,How do you know what the airline's baggage policy is?,How do you know what the airline's terms of service are?,How do you know what the airline's terms of service are?,How will you know what the airline's terms of service are?,How do you know the airline's baggage conditions?,How will you know what the airline's baggage conditions are?,How do you know the airline's baggage allowance?,How do you know what the airline's baggage conditions are?,How will you know what the airline’s baggage conditions are?,How will you know the baggage conditions of the airline?,How do you know what the airline's baggage requirements are?,How do you know what the airline's baggage claim is?,How do you know what the airline's baggage conditions are?
11,1719,The indirect human interaction is important from many aspects.,Direct human interaction is important in many ways.,"Non-intermediate human interaction is important in many, many ways.",Human interaction is important in so many ways.,Direct human interaction is important in so many ways.,Unmediated human interaction is important from many aspects.,The immediate human interaction is important in many ways.,"The non-middle human interaction is important in many, many aspects.","Unmediated human interaction is important from many, many aspects.",The immediate human interaction is important in many ways.,Non-mediated human interaction is incredibly important across many aspects.,Non-middle human interaction is important in many aspects.,Human interaction is very important in many ways.,"The unmediated human interaction is important from many aspects, many of which are important."
12,491,"The singer responded: ""The invasion of Ukraine is very different from the Israeli-Palestinian conflict.""","""The invasion of Ukraine is very different from the Israeli-Palestinian conflict.","""The invasion of Ukraine is very different from the Israeli-Palestinian conflict.","The singer responded: ""The invasion of Ukraine is very different from the Israeli-Palestinian conflict.","The singer responded: ""The invasion of Ukraine is very different from the Israeli-Palestinian conflict.","The singer responded: ""The invasion of Ukraine is very different from the Israeli-Palestinian conflict","The singer responded: ""The invasion of Ukraine is very different from the Israeli-Palestinian conflict","The singer responded: ""The invasion of Ukraine is very different from the Israeli-Palestinian conflict",The singer said: “The invasion of Ukraine is very different from the Israeli-Palestinian conflict,"The singer responded: ""The invasion of Ukraine is very different from the Israeli-Palestinian conflict","The singer responded: ""The invasion of Ukraine is very different from the Israeli-Palestinian conflict","""The invasion of Ukraine is very different from the Israeli-Palestinian conflict.","""The invasion of Ukraine is very different from the Israeli-Palestinian conflict.",The singer responded: “ The invasion of Ukraine is very different from the Israeli-Palestinian conflict.
13,1339,"According to the research data, 84% of the world's agricultural lands will experience a severe shortage of rainfall.","According to the study's data, 84% of the world's agricultural land will experience a severe shortage of rainwater.","According to the study's data, 84 percent of the world's agricultural land will experience severe rainwater shortages.","According to the study, 84 percent of the world's arable land will experience severe rainwater shortages.","According to the study, 84 percent of the world's arable land will experience a severe shortage of rainwater.","According to the study data, 84% of the world's land designated for agriculture will experience a severe shortage of rainwater.","According to the completeness of the research data, 84% of the lands intended for agriculture in the world will experience a severe lack of rainwater.","According to the study, 84% of the land designated for agriculture in the world will experience heavy rainwater shortages.","According to the study's data, 84% of the world's agriculturally designated soils will experience heavy rainwater shortages.","According to the analysis of research data, 84% of the global agricultural lands will suffer severe shortages of rainwater.","According to the study's data, 84% of the world's agricultural lands will experience severe water shortages.","According to the study, 84% of the land earmarked for agriculture in the world will experience severe rainwater shortages.","According to the research data, 84% of the land designated for agriculture in the world will experience a severe shortage of rainwater.","According to the study's data, 84% of the world's agricultural land will experience a severe shortage of rainwater."
14,1169,Maccabi Tel Aviv announced this evening (Tuesday) that they have reached an agreement with Zulte Waregem from the Belgian league on the sale of Novatus Miroshi.,Maccabi Tel Aviv announced on Tuesday evening that they had reached an agreement with Zolta and Argem from the Belgian league on the sale of Novatos Miroshi.,The Tel Aviv Mavs announced tonight (Tuesday) that they have reached a conclusion with Zolta and Arema from the Belgian league on the sale of Novatos Miroshi.,The Tel Aviv Mets announced tonight that they have reached an agreement with Zoltar and Ergam of the Belgian League on the recognition of Novatos Miroshy.,The Tel Aviv Mets announced tonight (Tuesday) that they reached an agreement with the Belgian league on the recognition of Novatos Miroshii.,Maccabi Tel Aviv announced on Tuesday evening that they have reached an agreement with Zulte Vargem of the Belgian league on the sale of Novatus Miroshi.,Maccabi Tel Aviv announced this evening (Tuesday) that they reached an agreement with Zolta and Argum from the Belgian league on the sale of Novatos Miroshi.,Maccabi Tel Aviv announced on Tuesday evening that it had reached an agreement with Zolta and Arg of the Belgian League over the sale of Novatos Miroshi.,Maccabi Tel Aviv announced Tuesday evening that they had reached a conclusion with Zulte Vargam of the Belgian League about the sale of Novatos Miroshi.,Maccabi Tel Aviv announced this evening (Tuesday) that they reached an agreement with Zulte Waregem from the Belgian league regarding the selling of Novatus Miroshi.,Maccabi Tel Aviv announced this evening (Tuesday) that they have reached an agreement with Zulte Waregem of the Belgian league to sell Novatus Miroshi.,Maccabi Tel Aviv announced on Tuesday evening that they had reached a deal with Zolta and Argam of the Belgian league to sell Novatus Mirushi.,Maccabi Tel Aviv announced Tuesday that they have reached an agreement with Zolta and Argam of the Belgian League on the sale of Novatos Miroshi.,Maccabi Tel Aviv announced Tuesday evening that they have reached an agreement with Zulte Vargem of the Belgian League on the sale of Novatos Miroshi Novatos.
15,1337,"In the research, in which scientists from all science agencies around the world participated, they summed up the total amount of rainwater, rivers and freshwater sources in the world and compared it to the needs of humanity in agriculture.","In the study, in which scientists from all scientific agencies in the world participated, the scientists summed up the total amount of rainwater, rivers and freshwater sources in the world and compared it to humanity's need for agriculture.","In the study, which involved scientists from all the world's science agencies, scientists summarized the total amount of rainwater, rivers and freshwater resources in the world and compared it to humanity's need for agriculture.","In the study, which involved scientists from all the world's science agencies, scientists aggregated the total amount of rainwater, rivers and freshwater sources in the world and compared it to humanity's need for agriculture.","In the study, which involved scientists from all the world's science agencies, scientists pooled the total amount of rainwater, rivers and freshwater sources in the world and compared it to humanity's agricultural needs.","In the study, in which scientists from all the world's scientific agencies participated, the scientists summarized the total amount of rainwater, rivers and freshwater sources in the world and compared it to humanity's need for agriculture.","In a study, in which scientists from all science agencies in the world participated, the scientists summarized the total amount of rainwater, rivers and fresh water sources in the world and compared it to humanity's need for agriculture.","In the study, which involved scientists from all the world's scientific agencies, the scientists summarized the total amount of rainwater, rivers and freshwater sources in the world and compared it to humanity's need for agriculture.","In the study, involving scientists from all the world's scientific agencies, scientists summarized the total amount of rainwater, rivers and fresh water sources in the world and compared it to humanity's need for agriculture.","In a study, in which scientists of every science agencies in the world took part, the scientists summarized the total amount of rainwater, rivers and fresh water sources in the world and compared it to humanity’s need for agriculture.","In this study, scientists from all science agencies worldwide compiled data on the total amount of precipitation, rivers, and freshwater sources in the world and compared it to the human demand for agriculture.","Scientists from all scientific agencies summarized rainwater, rivers and freshwater sources and compared it to human agriculture.","In the study, which included scientists from all the world's scientific agencies, the scientists summarized the total amount of rainwater, rivers and freshwater sources in the world and compared it to the need of humanity for agriculture.","In the study, in which scientists from all the world's scientific agencies participated, the scientists summarized the total amount of rainwater, rivers and fresh water sources in the world and compared it to humanity's need for agriculture."
16,608,The surgery on the 83-year-old lung cancer patient was performed on April 19th.,The surgery on the 83-year-old lung cancer patient was performed on April 19.,The operation on an 83-year-old lung cancer patient was performed on April 19.,The operation on the 83-year-old lung cancer patient was performed on April 19.,The operation on the 83-year-old lung cancer patient was performed on April 19.,The operation on an 83-year-old lung cancer patient took place on 19 April.,The surgery on an 83-year-old lung cancer patient was conducted on April 19.,The surgery on an 83־year-old lung cancer patient took place on April 19.,The surgery on an 83-year-old lung cancer patient was conducted on April 19.,The surgery on an 83-year-old lung cancer patient was conducted on April 19.,The surgery was performed on an 83-year-old lung cancer patient on April 19th.,The surgery on an 83-year-old lung cancer patient was performed on April 19th.,The surgery on an 83-year-old lung cancer patient took place on April 19.,The surgery on an 83-year-old lung cancer patient was conducted on April 19th.
17,1771,"Another big shame, we in Israel are held hostage by El Al company, all the direct flights are in their hands, they are raising prices, it's better to just walk already, it's time for truly open skies.","One more big shame, we in Israel are held captive by the Elal company, all direct flights are in the hands of price pigs, it's better that you go bankrupt already, it's time for a truly open sky.4","One more big shame, we in Israel are being held captive by a company that owns all the direct flights, which owns pigs.","Another great shame, we are in Israel captive by the company Allel all direct flights by pigs prices you better get out of here already, it's time for the skies to really open.4","Another great shame, we are in Israel held captive by the El Al company which holds all the direct flights by pigs prices better go already, it's time for the skies are truly open.4","One more big shame, we in Israel are held captive by EL AL All direct flights are in its hands Price pigs Better go bankrupt already, it's time for really open skies.4","One more big shame, we in Israel are held captive by the Elal company, all direct flights are in the hands of price pigs, it's better that you go bankrupt already, it's time for truly open skies. 4","One more big shame, we in Israel are being held captive by El Al.All direct flights in its hands are back prices. You better go bankrupt already ,it's time for truly open skies.4","One more big shame, we in Israel are captivated by Alal Company. All direct flights in its hands are cutting prices Better go bankrupt, it's time for a truly open sky.","One more big shame, we in Israel are held captive by El Al, all direct flights are in its hands, elevated prices, it’s better that it goes bankrupt now, it’s time for truly open skies.4","Another big disgrace, we are in Israel imprisoned by El Al, all direct flights in its hands, hogging prices, it’s better go bankrupt already, time for truly open skies.4","Another great shame, We in Israel are captives of ELAL for all the direct flights in its hands, pigs.","Another great shame, we in Israel are captives of ELAL all direct flights in its hands pigs prices better you go bankrupt already, it's time for really open skies.4","One more big shame, we in Israel are being held captive by El Al. All direct flights are in her hands Price pigs Better go bankrupt already, it's time for really open skies to be really open. 4 isn't that amazing!"
18,998,"The forces operated in several locations across the Judea and Samaria division to arrest wanted individuals, among other places in Rashida village and in the city of Nablus.","The forces operated in several locations throughout the Judea and Samaria Division to arrest wanted persons, including in the village of Rashida and the city of Nablus.","Forces have operated at several locations throughout Judea and Samaria to arrest wanted persons, including in the village of Rashida and your town.","The forces operated in several locations throughout the Judea and Samaria Governorate to arrest wanted persons, including in the village of Rashida and the town of Shamim.","The forces operated in several locations throughout the Judea and Samaria governorate to arrest wanted persons, including in the village of Rashida and the town of Shkem.","The forces operated in a number of locations throughout the Judea and Samaria Division to arrest wanted persons, including in the village of Rashida and the city of Nablus.","The forces operated in several centers throughout the Judea and Samaria Division to arrest wanted persons, among others in the village of Rashida and the city of Nablus.","The forces operated in a number of locations throughout the Judea and Samaria Division for the arrest of wanted men, including in the village of Rashida and the city of Nablus.","The forces operated in several locations throughout the Judea and Samaria division to arrest wanted persons, among others in the village of Rashida and in the city of Nablus.","The forces focused in several regions throughout the Judea and Samaria Division to arrest wanted persons, including the village of Rashida and the city of Nablus.",These operations took place in areas such as the village of Roshida and the city of Shechem.,"The forces operated in a number of locations throughout Judea and Samaria to arrest wanted persons, including in Rashida village and Nablus.","The forces operated in several locations throughout the Judea and Samaria Division to arrest wanted persons, including in the village of Rashida and in the city of Nablus.","The forces operated in several locations throughout the Judea and Samaria Division to arrest wanted persons, among others in the village of Rashida and in the city of Nablus."
19,1728,"There is no problem in drinking water, in unlimited quantities.","There is no problem to desalinate water, in unlimited quantities",There's no problem with dropping water in unlimited quantities.,"There's no problem with pouring water, in unlimited quantities","There's no problem to drop water, in unlimited quantities","There is no problem with desalination of water, in unlimited quantities","There is no problem with drinking water, in unlimited quantities","There is no problem desalinating water, in unlimited quantities","There is no problem to desalinate water, in unlimited quantities","There is no problem to desalinate drinking water, in unlimited quantities","There is no problem with water desalination, in unlimited quantities",There is no problem with desalinating water in unlimited amounts.,There's nothing wrong with desalinating water in unlimited quantities.,"There is no problem with desalination of water, in unlimited quantities, without restriction."
20,987,"At 10:05, an alarm will be activated for rocket and missile fire in Ganei Tikva.",• At 10: 05 a warning will be activated about rocket and missile fire in the settlement of Gani Tikva.,"• At 10:05 a.m., a rocket and missile warning will be activated in Garden of Hope.","• At 10:05 a.m., a missile warning will be activated in the community of Garden of Hope.","• At 10:05 a.m., a rocket and missile alert is activated in the community of Garden of Hope.","• At 10:05 a.m., an alert will be activated about rocket and missile fire in Ganei Tikva.",• At 10:05 a warning will be activated about the firing of rockets and missiles in the settlement of Gani Tikva.,"• At 10: 05 a.m., an alert will be issued for the firing of rockets and missiles in the settlement of Ganei Tikva.","• At 10:05, an alert will be triggered for rocket and missile attacks in the settlement of Ganei Tikva.",• At 10:05 an alert will be activated about the firing of rockets and missiles in the settlement of Ganei Tikva.,"At 10:05 AM, a siren alert will signify rocket and missile firing in the Ganey Tikva settlement.","• At 10: 05 a.m., a rocket and missile warning will be activated in Ganei Tikva.",At 10: 05 a warning will be activated about rocket and missile fire in Ganei Tikva.,• At 10:05 a warning will be activated about rocket and missile fire in the settlement of Ganei Tikva.
